Link,Score,Comment

Transportation in Boston

https://www.facebook.com/263469787148662_435509629944676,-0.75,remember this place Anna Fort! Looks chilly with the snow!
https://www.facebook.com/123524699715_10152732443869716,-0.6999999999999998,Too bad that our neighbors didn't appreciate or want the help.
https://www.facebook.com/141393642746_10151818153212747,-0.6999999999999998,It's to bad the connection between Brockport and Rochester has been severed.
https://www.facebook.com/102221239926164_452384764909808,-0.6999999999999998,Dat was bad
https://www.facebook.com/90705538313_10152664325903314,-0.66875,"It's a lot easier to get you and you're families, your neighbors, your brothers and sisters cousins, nephews, fellow workers, friends, etc -- and NOT elect these crazy people into office.  Organized Labor has the ability to control it's destiny --  just get off your butts and VOTE !!"
https://www.facebook.com/123524699715_10152696301804716,-0.65,very scary indeed
https://www.facebook.com/90705538313_10152676421723314,-0.65,It's a very sad day in Wisconsin.
https://www.facebook.com/90705538313_10152665906433314,-0.625,It is wrong for all workers!
https://www.facebook.com/232635164606_10152727363059607,-0.6,Dangerous
https://www.facebook.com/123524699715_10152696301804716,-0.5,That is scary
https://www.facebook.com/232635164606_10152731929249607,-0.5,You got the date wrong today is the 8 of march Sunday
https://www.facebook.com/124691280894093_1001801513183061,-0.5,"Almost 6 hrs later and still on bus
Driver takes holland versus Lincoln tunnel -- bad traffic!!!"
https://www.facebook.com/124691280894093_988047071225172,-0.5,"Couldn't see it, I was on a vamoose bus to Bethesda with poor internet! No halftime snacks either"
https://www.facebook.com/90705538313_10152665906433314,-0.5,Wrong for everybody............
https://www.facebook.com/122014561159744_1001330423228149,-0.5,"We don't offer ski packages, sorry."
https://www.facebook.com/171586456221360_827714673941865,-0.5,Is this a joke? Belo Horizonte has the worst public transport of the biggest cities in Brazil.
https://www.facebook.com/90705538313_10152662718683314,-0.49609375,Hey #scottwalker you fucked up dumbass! Say sorry you sorry little politician!
https://www.facebook.com/90705538313_10152676421723314,-0.4,Those poor Lemmings.
https://www.facebook.com/123524699715_10152700660194716,-0.375,Does the governor think we are all dumb?
https://www.facebook.com/232635164606_10152727363059607,-0.375,I actually miss this :(
https://www.facebook.com/90705538313_10152662718683314,-0.375,"facts say some Union workers vote republican,some dumb asses out there"
https://www.facebook.com/123524699715_10152732443869716,-0.36458333333333337,NYSDOT employees work really hard .... hats off to them!
https://www.facebook.com/512100995500458_769468106430411,-0.35714285714285715,Omg Ik right Josette it was awful!!!
https://www.facebook.com/232635164606_10152714950429607,-0.31666666666666665,Can we do something about this DISGUSTING bus? Pull it off service and clean the seats please. https://www.facebook.com/risa.schneider/media_set?set=a.10153108585537422.1073741838.828572421&type=1&comment_id=10153108647477422%C2%ACif_t%3Dphoto_album_comment
https://www.facebook.com/90705538313_10152669848083314,-0.3125,I think you mean blow the whistle OR fire a shot across the bow of those superTankers
https://www.facebook.com/1383542121942861_1424104047886668,-0.3125,I think you mean Qantas. 😃
https://www.facebook.com/232635164606_10152727363059607,-0.30999999999999994,"How nice!In Constanta,buses never had winter tires.Drivers just hopped that none of the small cars got stuck in the snow.If that happened,than the buses would no longer run in the city.PS: we had 11 trolleybus lines and 5 tram lines before our actual mayor became mayor.He said that he hated electric transport system and that it ruins the look of a city so they had to go ASAP. :/ Greetings from Romania."
https://www.facebook.com/90705538313_10152664325903314,-0.30833333333333335,Why do Republicans always want to be involved with how Unions collect dues from its members. Oh I forgot they like to always be meddling in other people business . Tend to your religious base and see what those churches are doing. Don't act like you do it for working families.
https://www.facebook.com/90705538313_10152662718683314,-0.30000000000000004,fuck scott walker .............piece of shit
https://www.facebook.com/90705538313_10152665906433314,-0.3,"Yeah, we have it here in Montana. It sucks."
https://www.facebook.com/122014561159744_1001330423228149,-0.3,Where are you seeing people book for summer trips? Is it too late to book?
https://www.facebook.com/90705538313_10152665906433314,-0.29444444444444445,Tough shit boys
https://www.facebook.com/123524699715_10152732443869716,-0.2916666666666667,Hard working dedicated civil servants.....😄
https://www.facebook.com/232635164606_10152714950429607,-0.28181818181818175,"So basically if you're working on the weekend in New York, you're gonn a have a bad time."
https://www.facebook.com/90705538313_10152665906433314,-0.2714285714285714,How can the right to work be wrong anywhere? That statement is infuriating. So you have to be a union member to work? Bs
https://www.facebook.com/90705538313_10152665627838314,-0.2571428571428572,"^^^^^
Those the guys that sell them on this right to work crap."
https://www.facebook.com/331274730062_10155217247980063,-0.25,Start small - it takes forever....
https://www.facebook.com/90705538313_10152664414078314,-0.25,You really don't fit the terrorist stereotype!
https://www.facebook.com/102221239926164_437652896382995,-0.25,Upstate NY could have used a few of these this year!
https://www.facebook.com/143076155861742_416263281876360,-0.2375,I am a bus driver and I am sorry there is no excuse for a student to get caught in the doors of the bus the driver can see the door for his/her seat
https://www.facebook.com/232635164606_10152709411094607,-0.2288818359375,so another day another cluster f$ck.....with an express train at parkchester got off the local only to be told 5 minutes later that the express train was not going express and that...etc...the Mta dispatchers must have no training...this is where my money goes...inadequete service and attitude....go F$CK YOURSELVES!!!!...THANK U FOR MAKING ME LATE FOR WORK AGAIN!!!!!
https://www.facebook.com/331274730062_10155199763140063,-0.21477272727272728,"Despite the cold and the darkness, I would live in Norway in a heartbeat!"

Transportation in San Francisco

Positive Comments
https://www.facebook.com/213934477785_10153645715742786,1.0,Awesome airline!
https://www.facebook.com/340266356038177_517888411609303,1.0,awesome company
https://www.facebook.com/340266356038177_517888411609303,1.0,Congrats! Great company!
https://www.facebook.com/340266356038177_554663847931759,1.0,Wonderful service
https://www.facebook.com/340266356038177_557175124347298,1.0,I Love It!!!!  We need Silver Ride In Florida Don Nichols
https://www.facebook.com/340266356038177_10152207616101405,1.0,A great idea!!!
https://www.facebook.com/125169207652669_206278042875118,1.0,828 is the best
https://www.facebook.com/125169207652669_258451287657793,1.0,Happy Birthday Michael!
https://www.facebook.com/653843471351563_785177531551489,1.0,Dedication and committment.  Very impressive Mike!
https://www.facebook.com/653843471351563_814605975275311,1.0,"Thank you Robert, you are the best!"
https://www.facebook.com/653843471351563_814605975275311,1.0,"Congratulations, Robert! People like you make us a great team!"
https://www.facebook.com/653843471351563_814616035274305,1.0,Welcome Randy!
https://www.facebook.com/653843471351563_814616035274305,1.0,What a good looking guy! Must have been hired for his looks!
https://www.facebook.com/475001459195369_583195011780040,1.0,what a gorgeous shot!!!
https://www.facebook.com/475001459195369_1009999169028926,1.0,"Hi Vi - We agree, which is why we do promote the Sunset (http://bit.ly/1AVI9vW)  and Richmond (http://bit.ly/1x7oyoI) districts. Some of the best food in the city can be found there!"
https://www.facebook.com/134624876678023_411337662340075,1.0,We went there it was wonderful time with my father visited from Boston. Cheer!
https://www.facebook.com/47543748171_10152187810388172,1.0,There we are! Awesome.
https://www.facebook.com/47543748171_10152322927748172,1.0,Excellent!!!
https://www.facebook.com/8526842181_10152903962242182,1.0,Best travel app!!!
https://www.facebook.com/86753055994_10152833402715972,1.0,Beautiful!
https://www.facebook.com/289193207796637_795993160449970,1.0,"Have you seen my father? Please and thank you ♥     
http://miami.craigslist.org/mdc/laf/4683815587.html"
https://www.facebook.com/289193207796637_795993160449970,1.0,It would be awesome if Muni went all the way to Ghirardelli Square!
https://www.facebook.com/47543748171_10152322927748172,0.875,Looking good!
https://www.facebook.com/475001459195369_583195011780040,0.85,"I miss the -City- 
Beautifully Taken Susan
 ❤💛💚💙💜"
https://www.facebook.com/475001459195369_583195011780040,0.85,Beautiful .
https://www.facebook.com/289193207796637_795993160449970,0.85,Beautiful photo. Thank you for sharing.
https://www.facebook.com/318662492852_10153180009197853,0.8125,Lol ! Cute.!
https://www.facebook.com/340266356038177_699984273399715,0.8,Great idea.
https://www.facebook.com/653843471351563_785177531551489,0.8,lol Mike
https://www.facebook.com/653843471351563_804953272907248,0.8,Great work guys.
https://www.facebook.com/340266356038177_737177299680412,0.78125,ADD ME BECAUSE I LOVE YOU! I BEG YOU ALL!
https://www.facebook.com/475001459195369_583195011780040,0.78125,Love it! I miss the bay!
https://www.facebook.com/134624876678023_474000422740465,0.75,Amazing!
https://www.facebook.com/47543748171_10152753236763172,0.75,Amazing work Pete!
https://www.facebook.com/340266356038177_611129035618573,0.75,this is a wonderful thing to do .Lots of us don't drive and would love to go places but can't get there.I Suggested this to my niece years go
https://www.facebook.com/653843471351563_753784238024152,0.75,Nice work Willora!  Thank you for all you do.
https://www.facebook.com/653843471351563_765534870182422,0.75,"Nice work on this Rodrigo, you are truly a rock star!"
https://www.facebook.com/134624876678023_434013153405859,0.75,"I kind of like ""traqueros"" too!"
https://www.facebook.com/289193207796637_795993160449970,0.75,Nice!
https://www.facebook.com/340266356038177_579833225414821,0.7,We just realized this photo never got posted!  Here is a nice timeline photo of the happy couple...
https://www.facebook.com/475001459195369_583195011780040,0.675,Most beautiful
https://www.facebook.com/653843471351563_794300777305831,0.65,Nice job Charmaine; keep up the good work.
https://www.facebook.com/125169207652669_258451287657793,0.625,Jake will love this cake!
https://www.facebook.com/318662492852_10153174798507853,0.625,Stunning view! Where is it?
https://www.facebook.com/475001459195369_583195011780040,0.625,Absolutely stunning!
https://www.facebook.com/475001459195369_583195011780040,0.625,Stunning!
https://www.facebook.com/340266356038177_563547260376751,0.6,see a popular film...go to the library...
https://www.facebook.com/289193207796637_795993160449970,0.6,Nice
https://www.facebook.com/213934477785_10153669170532786,0.559523809524,"Anchored my boat right off that point! 
Stunning and pristine and one of the most beautiful places.... But don't try and go looking for groceries!  That's a challenge! But did find the cutest local cuban restaurant.... Maxing what you find when not in the hotels..... Great memories!"
https://www.facebook.com/86753055994_10153257730345995,0.55,One of the most amazing sailboat rides I have ever been on.
Negative Comments
https://www.facebook.com/213849045425062_499881373488493,-0.5,Ill write a review
https://www.facebook.com/318662492852_10153168071892853,-0.4861111111111111,Tough choice!
https://www.facebook.com/289193207796637_796113023771317,-0.35714285714285715,Who are the sick degenerates who are party to this current Nazi Boycott? This bus company did everything in its power to discourage Pamella Geller from putting up ads when it came to the truth about Jew hatred and the genocidal intent of Hamas; the friends of this despicable degenerate posting these antisemitic ads. You should add a swastika to you logo from now on.
https://www.facebook.com/653843471351563_794300777305831,-0.25,"Charmaine, thank you for all you do for your passengers everyday!"
https://www.facebook.com/125169207652669_374378096065111,-0.15555555555555559,Trying to reach about bringing All-Star players down to Los Angeles again
https://www.facebook.com/289193207796637_793033900745896,-0.125,"A commute that usually takes 45mins, took almost 2 hours. I hope you muni burns to the ground. This city don't need public transportations."
https://www.facebook.com/206337639549522_292164260966859,-0.11607142857142858,Do not forget to reserve your spot! Space is very limited! https://www.facebook.com/events/1501808950054220/
https://www.facebook.com/289193207796637_796106163772003,-0.08806818181818182,Don't you mean lunar new year?
https://www.facebook.com/8526842181_10152891066252182,-0.01731601731601732,Wow!  Blue and orange is a new one!  We usually hear blue and black.  I always saw white and gold.
https://www.facebook.com/134624876678023_514149648725542,-0.006397306397306411,My pager broke down I have to get new one next Monday.
https://www.facebook.com/355481265928_10153164252240929,0.0,Thank you also to AGRION and Gerry Tierney of Perkins+Will for hosting.
https://www.facebook.com/289193207796637_797799940269292,0.0,Does the 55-16th Street goto Karnas and 16th?
https://www.facebook.com/289193207796637_796106163772003,0.0,How thoughtful.Thank you!
https://www.facebook.com/289193207796637_795993160449970,0.0,BUILD IT
https://www.facebook.com/289193207796637_795993160449970,0.0,Card of mine mis placed or taken.
https://www.facebook.com/289193207796637_794788577237095,0.0,Can you please provide the correct URL to apply for a permit / contract the city to paint the sides of our driveway red? I've been searching online and can't find anything but anecdotal stories about it. Thank you!
https://www.facebook.com/289193207796637_794788577237095,0.0,Just do it yourself without permit
https://www.facebook.com/289193207796637_793033900745896,0.0,So I guess there's no M train tonight huh? Should've said something. This is the reason why I refuse to pay to ride your trains.
https://www.facebook.com/289193207796637_793033900745896,0.0,Does the 29-Sunset stop at Paul and 3rd?
https://www.facebook.com/289193207796637_793033900745896,0.0,The longest 1 min wait of my life.
https://www.facebook.com/226741344100938_663241120450956,0.0,When is the civil service exam coming up?
https://www.facebook.com/226741344100938_662184683889933,0.0,"Check out the video on what it's like being a Muni Transit Operator!

https://www.youtube.com/watch?v=-juC-3gA3Fc"
https://www.facebook.com/265829313471264_781212485266275,0.0,What time?
https://www.facebook.com/86753055994_10153574697360995,0.0,Bere Perezcano
https://www.facebook.com/86753055994_10153301217270995,0.0,Arrrrrrr Arrrrrrs
https://www.facebook.com/86753055994_10152833402715972,0.0,Eat yer Spinach sailor!
https://www.facebook.com/86753055994_10153257730345995,0.0,Each body has its art...
https://www.facebook.com/8526842181_10152891066252182,0.0,Gold and white
https://www.facebook.com/47543748171_10152775451153172,0.0,No call?
https://www.facebook.com/47543748171_10152775451153172,0.0,Yah Ed!
https://www.facebook.com/47543748171_10152775451153172,0.0,Who is the guy in the tie?
https://www.facebook.com/47543748171_10152769991988172,0.0,MY car.
https://www.facebook.com/47543748171_10152769991988172,0.0,That's me in cc-70!
https://www.facebook.com/47543748171_10152769991988172,0.0,Io ho avuto il piacere di salire sul cable car
